Question,Intent,Answer,Link,Image
"When registering course with one instructor, once the semester begins it is another instructor that teaches the course?",Course and Exam Conflicts,"Because the faculty changes the instructor due to a variety of reasons. For example, the said instructor has resigned from his teaching role in the university without prior notice.",,
Can I take courses from a different faculty or department?,Course Registration and Modifications,"You can have 2 free elective courses (6 credits) which you can take from any other falculty. However, make sure you check the prerequisites ad falculty website for the avalibility of the course. Examples of some  Free Electives GE1405 (Thai Language and Culture), GE2101 (World Civilization),  BG1301 (Business Law 1)",,
What should I do if a course I need is full during registration?,Course Registration and Modifications,"You can fill up the petition form to add the course during adding period. However, you need to get aprroval signature from the course lecturer and dean the falculty.",,
Can I switch to a different section of the same course after the semester begins?,Course Registration and Modifications,"You can always fill up the petition form to change section. However, make sure that the section you want to change has seats avalible. ",,
How do I know if a course I'm interested in is still available for registration?,Course Registration and Modifications,You can check AU Spark during the pre-registeration period for seat avalibilty.,,
What happens if I miss the registration deadline?,Course Registration and Modifications,You can contact the registeration office. ,,
What are the requirements for graduating with honors?,Graduation and Credit Requirements,"Undergraduate students can graduate with honors based on their GPA: Summa Cum Laude (3.80-4.00), Magna Cum Laude (3.50-3.79), and Cum Laude (3.25-3.49). Requirements include completing all graduation requirements within 4 years (5 years for Architecture), no probation, no grades below 'C', and transfer students must complete the last 72 credits at Assumption University. Students with a GPA of 3.25 or higher who meet these criteria may receive an Award of Academic Excellence.",,
How can I check my credit status towards graduation?,Graduation and Credit Requirements,"You can always check AU Spark for the credit taken. For graduation requirement, every major is different and you can check your falculty website or confirm with your advisor for the required creditc to graduate.",,
Can I transfer credits from another university?,Graduation and Credit Requirements,"Yes. However, you must confirm with the registeration office and submit require document before getting aprroval for credit transfer courses. ",,
Is there a limit to how many summer courses I can take to catch up on credits?,Graduation and Credit Requirements,Students can take a maximun of 7 credits during the summer.,,
Where can I find academic advising services?,Administrative and Support Services,You can check your advisor on AU spark. If you don't see the name contact your faculty office.,,
What are the payment options for tuition and fees?,Administrative and Support Services,"You can check the payment schedule from school website and pay online. If you encounter any complictions, you can contact the registeration offic eand pay in person.",,
How do I request an official transcript or other academic records?,Administrative and Support Services,You can contact the registeration office. (SM116),,
What is the academic calendar?,General Campus Queries and Academic Calendar ,You can find the academic calendar on our website,https://registrar.au.edu/academic-calendar/#,
How do I get my Transcript?,Administrative and Support Services,You can find the Intruction for Online Transcript at our website,https://registrar.au.edu/online-official-transcript-and-certification-request/,
What is AU spark?,Administrative and Support Services,You can find more information about AU spark on our website ,https://registrar.au.edu/au-spark/,
Show me University Map,General Campus Queries,Here is the Map of ABAC SUVARNABHUMI CAMPUS MAP,,https://admissions.au.edu/wp-content/uploads/2020/10/SUVARNABHUMI-CAMPUS-MAP.jpg
What is VME?,General Campus Queries,"Vincent Mary School of Engineering (VME) at Assumption University (ABAC) is an academic institution that offers engineering programs, emphasizing a practical and hands-on approach to education in various engineering disciplines.",,
What is ABAC?,General Campus Queries,"Assumption University of Thailand (ABAC) is a private Catholic university in Bangkok, known for its international focus and diverse academic programs.",,
What is the purpose of the chatbot?,Administrative and Support Services,"The chatbot is designed to assist students by providing quick answers to common queries related to academic programs, course information, and university policies.",,
How does the chatbot generate responses?,Academic Information,The chatbot uses advanced natural language processing (NLP) techniques to understand user questions and provide relevant responses based on a database of combined datasets.,,
Can I ask the chatbot about specific courses?,Course Registration,"Yes! You can ask about any courses offered at the university, including prerequisites, schedules, and professor information.",,
Is the chatbot able to answer questions about professors?,Faculty Information,"Absolutely! The chatbot can provide information about professors, including their contact details, courses they teach, and office hours.",,
How can I provide feedback on the chatbot's responses?,User Feedback,"After each response, you will see options to give feedback (thumbs up or thumbs down). You can also provide detailed feedback to help improve the chatbot’s accuracy.",,
What kind of information can I get from the chatbot?,Academic Resources,"You can inquire about course names, professor names, free elective courses, and general university information, among other academic-related queries.",,
Can the chatbot help me with scheduling or registration?,Registration Help,"While the chatbot can provide general information, please refer to the official university registration portal for specific scheduling and registration processes.",,
What should I do if the chatbot cannot answer my question?,General Inquiry,"If the chatbot is unable to provide an answer, it may suggest contacting academic advisors or relevant departments for further assistance.",,
How is my data handled by the chatbot?,Data Privacy,"User interactions and feedback are logged for improving the chatbot's performance. Personal information is not stored, and user privacy is a priority.",,
Will the chatbot evolve over time?,Chatbot Development,"Yes! The chatbot is designed to learn from user interactions and feedback, continually improving its ability to assist students effectively.",,
Is the chatbot available 24/7?,Chatbot Availability,Yes! The chatbot is available at any time to assist you with your inquiries.,,
What are the requirements to change my major?,Course Registration and Modifications,"To change your major, you must submit a request form to the Registrar's Office along with any required documentation, including a statement of purpose.",,
How can I find out about internship opportunities?,Career Services,"You can check the Career Services Center on campus, attend career fairs, or look at postings on the university's job portal for internship opportunities.",,
Can I take a course at another university and transfer the credits to ABAC?,Transfer Policies,"Yes, but you must seek prior approval from your faculty advisor and submit a transfer credit request to ensure the course meets ABAC's standards.",,
What should I do if I am struggling in my classes?,Academic Support,"You should contact your professors for assistance, visit the academic support center, or seek tutoring services offered by the university.",,
Are there any scholarships available for international students?,Financial Aid,"Yes, ABAC offers several scholarships for international students. Check the university's financial aid website for more information on eligibility and application procedures.",,
How do I access my student email?,Administrative and Support Services,You can access your student email through the university's portal using your student ID and password.,,
What are the library hours?,General Campus Queries,The library hours vary by day; please check the library's website or contact them directly for current hours.,,
How can I report a campus emergency?,Safety and Security,"In case of an emergency, call campus security at the designated emergency number or use the emergency buttons located throughout the campus.",,
What is the process for appealing a grade?,Academic Policies,"To appeal a grade, you must submit a written request to the instructor within a specified timeframe, outlining your reasons for the appeal.",,
Are there any clubs or organizations I can join?,Student Life,"Yes, ABAC has a variety of clubs and organizations catering to different interests. You can find a list of them on the student affairs website or at the student center.",,
